Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,137.600006,137.600006,135.029999,136.520004,136.520004,21268
2020-11-04,136.899994,137.000000,135.500000,136.899994,136.899994,16811
2020-11-05,136.889999,137.000000,136.649994,136.830002,136.830002,12623
2020-11-06,136.830002,137.199997,136.830002,137.199997,137.199997,8902
2020-11-09,138.020004,138.520004,137.509995,137.660004,137.660004,15516
2020-11-10,137.660004,138.000000,137.559998,137.910004,137.910004,20072
2020-11-11,138.000000,138.000000,137.009995,137.259995,137.259995,22278
2020-11-12,137.199997,137.520004,136.699997,136.699997,136.699997,17215
2020-11-13,136.710007,136.990005,136.710007,136.850006,136.850006,8699
2020-11-16,137.009995,137.479996,136.699997,137.000000,137.000000,19626
2020-11-17,137.389999,137.399994,137.050003,137.199997,137.199997,17485
2020-11-18,137.190002,137.199997,136.880005,136.940002,136.940002,17155
2020-11-19,137.000000,137.250000,136.699997,136.940002,136.940002,16165
2020-11-23,136.949997,136.990005,136.720001,136.800003,136.800003,14743
2020-11-24,136.800003,137.050003,136.600006,136.809998,136.809998,16791
2020-11-25,136.809998,136.990005,136.649994,136.850006,136.850006,15060
2020-11-26,136.860001,136.949997,136.500000,136.779999,136.779999,19571
2020-11-27,136.779999,136.990005,136.779999,136.940002,136.940002,16485
2020-11-30,136.990005,137.360001,135.729996,136.500000,136.500000,32764
2020-12-01,135.800003,135.800003,135.009995,135.179993,135.179993,17797
2020-12-02,135.339996,135.520004,131.330002,134.119995,134.119995,30195
2020-12-03,134.000000,134.000000,129.119995,132.389999,132.389999,53586
2020-12-04,132.279999,132.279999,130.100006,130.250000,130.250000,34512
2020-12-07,130.160004,130.449997,125.519997,126.550003,126.550003,93456
2020-12-08,126.500000,126.500000,120.000000,121.800003,121.800003,125893
2020-12-09,121.500000,121.739998,117.800003,118.199997,118.199997,92315
2020-12-10,117.750000,125.279999,115.510002,123.889999,123.889999,92302
2020-12-11,124.000000,125.949997,121.050003,122.970001,122.970001,29065
2020-12-14,123.400002,123.400002,121.000000,121.089996,121.089996,25525
2020-12-15,121.089996,121.089996,118.669998,118.800003,118.800003,54242
2020-12-16,118.750000,118.750000,116.510002,117.500000,117.500000,61830
2020-12-17,117.300003,117.300003,116.699997,116.900002,116.900002,56965
2020-12-18,117.000000,117.099998,116.750000,117.019997,117.019997,21780
2020-12-21,117.199997,118.989998,116.599998,117.599998,117.599998,34952
2020-12-22,117.620003,121.000000,117.620003,119.610001,119.610001,47206
2020-12-23,120.000000,121.879997,119.800003,120.080002,120.080002,36723
2020-12-28,120.599998,121.500000,120.599998,121.449997,121.449997,18250
2020-12-29,121.500000,123.930000,121.110001,123.910004,123.910004,31823
2020-12-30,124.000000,124.349998,123.709999,123.930000,123.930000,26925
2021-01-04,122.500000,122.500000,120.540001,121.000000,121.000000,20656
2021-01-05,121.000000,121.309998,118.550003,120.239998,120.239998,25772
2021-01-06,120.309998,120.360001,118.489998,119.169998,119.169998,28897
2021-01-07,119.989998,120.459999,119.309998,119.970001,119.970001,23522
2021-01-08,119.970001,120.650002,119.010002,119.150002,119.150002,10635
2021-01-11,118.500000,118.500000,115.239998,115.500000,115.500000,72852
2021-01-12,115.500000,115.970001,112.010002,113.000000,113.000000,125496
2021-01-13,112.699997,112.800003,111.250000,111.800003,111.800003,84243
2021-01-14,111.809998,113.879997,111.800003,112.620003,112.620003,47300
